timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776778015871,3069,T01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Virtual Student 1-1,,true,,2892,349,1,1,null,0,1172,2024
1776778015959,3069,POST API Login,200,OK,Virtual Student 1-1,text,true,,2892,349,1,1,https://ilmu-dev.tmrnd.dev/usermgmt/v1/auth/token,3069,0,2024
1776778020121,5740,T02_Assessment,200,"Number of samples in transaction : 5, number of failing samples : 0",Virtual Student 1-1,,true,,65916,10179,1,1,null,0,609,0
1776778020122,625,GET Learning Assessment Page/API,200,OK,Virtual Student 1-1,text,true,,724,2043,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/status/PERSONALIZED_LEARNING_V1,625,0,0
1776778020749,1346,GET Questionnaire Page,200,OK,Virtual Student 1-1,text,true,,2637,2027,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1,1346,0,0
1776778022095,610,POST User Questionnaire Session ID,200,OK,Virtual Student 1-1,text,true,,638,2066,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/start,610,0,0
1776778022707,582,GET newUserQuestionnaire Page,200,OK,Virtual Student 1-1,text,true,,650,2016,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/1129,582,0,0
1776778023292,2577,GET All Questions,200,OK,Virtual Student 1-1,text,true,,61267,2027,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1/questions?limit=26,790,0,0
1776778026470,31214,T03_Learning_Space,200,"Number of samples in transaction : 12, number of failing samples : 0",Virtual Student 1-1,,true,,265481,76384,1,1,null,0,37874,1577
1776778026470,1753,GET Subscription Active,200,OK,Virtual Student 1-1,text,true,,2699,2099,1,1,https://ilmu-dev.tmrnd.dev/subscription/v1/user-subscriptions/me/active,1753,0,0
1776778028225,1066,GET Subjects,200,OK,Virtual Student 1-1,text,true,,7897,2075,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/subjects,1065,0,0
1776778029293,620,GET Tags,200,OK,Virtual Student 1-1,text,true,,730,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources/tags,619,0,0
1776778029914,572,GET Tags By SubjectIds,200,OK,Virtual Student 1-1,text,true,,713,2113,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources/tags?subjectIds=2,14,15,6,7",571,0,0
1776778030487,580,GET Textbook Learning Resources,200,OK,Virtual Student 1-1,text,true,,1463,2148,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=TEXTBOOK&subjectIds=2,14,15,6,7&limit=12&offset=0",580,0,0
1776778031068,1569,GET Navigate TextBook,200,OK,Virtual Student 1-1,text,true,,53076,2098,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/courses/14/navigation,1027,0,0
1776778032638,648,GET Learning Study Notes,200,OK,Virtual Student 1-1,text,true,,14205,2151,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=STUDY_NOTES&subjectIds=2,14,15,6,7&limit=12&offset=0",630,0,0
1776778033287,1183,GET Study Notes Details,200,OK,Virtual Student 1-1,text,true,,44568,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3283/detail,1167,0,0
1776778034472,682,GET Flashcards,200,OK,Virtual Student 1-1,text,true,,9984,2150,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=FLASHCARDS&subjectIds=2,14,15,6,7&limit=12&offset=0",668,0,0
1776778035155,618,GET Quiz,200,OK,Virtual Student 1-1,text,true,,9608,2144,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=QUIZ&subjectIds=2,14,15,6,7&limit=12&offset=0",617,0,0
1776778035774,20248,T03A_Navigate_Quiz_And_Answer_10Q,200,"Number of samples in transaction : 25, number of failing samples : 0",Virtual Student 1-1,,true,,106245,53134,1,1,null,0,37860,1577
1776778037275,1568,GET Quiz Detail 2808,200,OK,Virtual Student 1-1,text,true,,66630,2086,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/detail,817,0,0
1776778040346,562,GET Quiz 2808,200,OK,Virtual Student 1-1,text,true,,1350,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808,562,0,0
1776778042411,593,POST Start Quiz Attempt 2808,200,OK,Virtual Student 1-1,text,true,,567,2108,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts,593,0,0
1776778044542,572,GET Quiz Item 1826,200,OK,Virtual Student 1-1,text,true,,1232,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1826,572,0,0
1776778046692,621,POST Quiz Answer 1826,200,OK,Virtual Student 1-1,text,true,,980,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/items/1826/answer,621,0,0
1776778048824,571,GET Quiz Item 1827,200,OK,Virtual Student 1-1,text,true,,1304,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1827,571,0,0
1776778050905,550,POST Quiz Answer 1827,200,OK,Virtual Student 1-1,text,true,,999,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/items/1827/answer,550,0,0
1776778052959,570,GET Quiz Item 1828,200,OK,Virtual Student 1-1,text,true,,1643,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1828,570,0,0
1776778055042,580,POST Quiz Answer 1828,200,OK,Virtual Student 1-1,text,true,,966,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/items/1828/answer,580,0,0
1776778057126,568,GET Quiz Item 1829,200,OK,Virtual Student 1-1,text,true,,1395,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1829,568,0,0
1776778059209,588,POST Quiz Answer 1829,200,OK,Virtual Student 1-1,text,true,,930,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/items/1829/answer,588,0,0
1776778061309,560,GET Quiz Item 1830,200,OK,Virtual Student 1-1,text,true,,1138,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1830,560,0,0
1776778063376,573,POST Quiz Answer 1830,200,OK,Virtual Student 1-1,text,true,,957,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/items/1830/answer,573,0,0
1776778065459,569,GET Quiz Item 1831,200,OK,Virtual Student 1-1,text,true,,1446,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1831,569,0,0
1776778067542,584,POST Quiz Answer 1831,200,OK,Virtual Student 1-1,text,true,,980,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/items/1831/answer,584,0,0
1776778069643,559,GET Quiz Item 1832,200,OK,Virtual Student 1-1,text,true,,1147,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1832,559,0,0
1776778071709,583,POST Quiz Answer 1832,200,OK,Virtual Student 1-1,text,true,,983,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/items/1832/answer,583,0,0
1776778073808,565,GET Quiz Item 1833,200,OK,Virtual Student 1-1,text,true,,1283,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1833,565,0,0
1776778075876,578,POST Quiz Answer 1833,200,OK,Virtual Student 1-1,text,true,,931,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/items/1833/answer,578,0,0
1776778077961,2452,GET Quiz Item 1834,200,OK,Virtual Student 1-1,text,true,,1177,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1834,2452,0,1577
1776778081926,827,POST Quiz Answer 1834,200,OK,Virtual Student 1-1,text,true,,964,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/items/1834/answer,827,0,0
1776778084260,1048,GET Quiz Item 1835,200,OK,Virtual Student 1-1,text,true,,1351,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1835,1048,0,0
1776778086827,1015,POST Quiz Answer 1835,200,OK,Virtual Student 1-1,text,true,,1005,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/items/1835/answer,1015,0,0
1776778089344,1872,GET Quiz Attempt Status 552,200,OK,Virtual Student 1-1,text,true,,14274,2092,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552,594,0,0
1776778092743,1120,POST Submit Quiz Attempt 552,200,OK,Virtual Student 1-1,text,true,,613,2119,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552/submit,1120,0,0
1776778093884,1675,GET Quiz Attempt Result 552,200,OK,Virtual Student 1-1,text,true,,14293,2092,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/552,1111,0,0
1776778095564,15328,T04_AI_Tutor_WebSocket,Sampler error: unexpected frame type (close).,"Number of samples in transaction : 86, number of failing samples : 7",Virtual Student 1-1,,false,,4440,5491,1,1,null,0,35140,2627
1776778095977,549,GET AI Tutor Socket Init,200,OK,Virtual Student 1-1,text,true,,438,300,1,1,https://ilmu-dev.tmrnd.dev/ai-tutor/socket.io/?EIO=4&transport=polling&t=9fd550d5-bca5-4229-b033-f1555b198469,549,0,0
1776778096943,554,POST AI Tutor Socket Auth,200,OK,Virtual Student 1-1,text,true,,304,2140,1,1,https://ilmu-dev.tmrnd.dev/ai-tutor/socket.io/?EIO=4&transport=polling&t=1a42b916-fe6c-41cc-afaa-6231339b4160&sid=Y3_iAB7Qi6W8xJyIAAAf,554,0,0
1776778097908,550,GET AI Tutor Socket Namespace Ack,200,OK,Virtual Student 1-1,text,true,,361,325,1,1,https://ilmu-dev.tmrnd.dev/ai-tutor/socket.io/?EIO=4&transport=polling&t=1b43cf7d-7d77-4730-8a8e-84b7b2f5cfe5&sid=Y3_iAB7Qi6W8xJyIAAAf,550,0,0
1776778098862,2627,WS Open AI Tutor Connection,101,Switching Protocols,Virtual Student 1-1,,true,,319,372,1,1,null,0,0,2627
1776778101892,535,WS Engine.IO Probe,200,OK,Virtual Student 1-1,text,true,,8,12,1,1,null,0,0,0
1776778102828,0,WS Engine.IO Upgrade,200,OK,Virtual Student 1-1,,true,,0,7,1,1,null,0,0,0
1776778103229,10,Init AI Verification Counter,200,OK,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1776778103659,0,WS Send Sejarah Question,200,OK,Virtual Student 1-1,,true,,0,171,1,1,null,0,0,0
1776778104062,32,Log Sejarah Question Sent,200,OK,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1776778104508,2,WS Read AI Tutor Chunk,200,OK,Virtual Student 1-1,text,true,,164,0,1,1,null,0,0,0
1776778104913,807,WS Read AI Tutor Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1776778106127,801,WS Read AI Tutor Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1776778107343,800,WS Read AI Tutor Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1776778108547,812,WS Read AI Tutor Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1776778109761,802,WS Read AI Tutor Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1776778110965,808,WS Read AI Tutor Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
