timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776848447661,2356,T01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Virtual Student 1-1,,true,,2881,348,1,1,null,0,1820,1768
1776848447733,2356,POST API Login,200,OK,Virtual Student 1-1,text,true,,2881,348,1,1,https://ilmu-dev.tmrnd.dev/usermgmt/v1/auth/token,2356,0,1768
1776848451843,4221,T02_Learning_Assessment,200,"Number of samples in transaction : 5, number of failing samples : 0",Virtual Student 1-1,,true,,65915,10124,1,1,null,0,502,0
1776848451844,466,GET Learning Assessment Page/API,200,OK,Virtual Student 1-1,text,true,,723,2032,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/status/PERSONALIZED_LEARNING_V1,466,0,0
1776848452311,1370,GET Questionnaire Page,200,OK,Virtual Student 1-1,text,true,,2637,2016,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1,1370,0,0
1776848453820,487,POST User Questionnaire Session ID,200,OK,Virtual Student 1-1,text,true,,638,2055,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/start,487,0,0
1776848454344,464,GET newUserQuestionnaire Page,200,OK,Virtual Student 1-1,text,true,,650,2005,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/1171,464,0,0
1776848454836,1434,GET All Questions,200,OK,Virtual Student 1-1,text,true,,61267,2016,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1/questions?limit=26,489,0,0
1776848456567,19644,T03_Learning_Space,200,"Number of samples in transaction : 10, number of failing samples : 0",Virtual Student 1-1,,true,,243956,71846,1,1,null,0,222,0
1776848456568,483,GET Subscription Active,200,OK,Virtual Student 1-1,text,true,,2693,2088,1,1,https://ilmu-dev.tmrnd.dev/subscription/v1/user-subscriptions/me/active,482,0,0
1776848457052,463,GET Tags By SubjectIds,200,OK,Virtual Student 1-1,text,true,,713,2102,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources/tags?subjectIds=2,14,15,6,7",463,0,0
1776848457517,467,GET Textbook Learning Resources,200,OK,Virtual Student 1-1,text,true,,1463,2137,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=TEXTBOOK&subjectIds=2,14,15,6,7&limit=12&offset=0",467,0,0
1776848457987,1022,GET Navigate TextBook,200,OK,Virtual Student 1-1,text,true,,53076,2087,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/courses/14/navigation,709,0,0
1776848459011,465,GET Navigate TextBook,200,OK,Virtual Student 1-1,text,true,,1395,2082,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/691/page-content,465,0,0
1776848459478,805,GET Learning Study Notes,200,OK,Virtual Student 1-1,text,true,,14205,2140,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=STUDY_NOTES&subjectIds=2,14,15,6,7&limit=12&offset=0",513,0,0
1776848460284,770,GET Study Notes Details,200,OK,Virtual Student 1-1,text,true,,44568,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3283/detail,764,0,0
